Gathering Data:
 21,0,518,0           
21,1,517,0           
20,5,515,0           
26,9,518,0           
21,1,512,0           
22,0,513,0           
28,-11,515,0         
26,-5,517,0          
29,3,517,0           
23,2,515,0           
25,1,518,0           
28,1,516,0           
29,5,512,0           
26,6,510,0           
23,2,516,0           
24,6,515,0           
22,8,514,0           
34,13,516,0          
28,12,514,0          
28,12,514,0          
35,3,516,0           
28,-2,517,0          
22,1,514,0           
26,6,517,0           
27,5,522,0           
18,11,514,0          
25,6,511,0           
27,8,514,0           
29,7,519,0           
26,8,518,0           
25,6,514,0           
30,11,510,0          
28,8,515,0           
35,3,515,0           
30,6,513,0           
28,3,519,0           
20,-16,522,0         
29,12,511,0          
29,18,507,0          
22,6,515,0           
30,4,516,0           
25,1,515,0           
29,8,512,0           
24,8,512,0           
28,7,512,0           
25,8,516,0           
22,10,518,0          
28,7,517,0           
26,8,514,0           
25,9,513,0           
27,7,517,0           
29,8,514,0           
26,18,494,0          
22,10,519,0          
27,8,513,0           
27,4,517,0           
30,3,528,0           
26,6,521,0           
30,5,514,0           
23,6,515,0           
26,7,522,0           
29,1,518,0           
22,4,519,0           
26,19,506,0          
43,7,520,0           
24,6,517,0           
10,-4,513,0          
43,7,518,0           
37,18,509,0          
29,6,516,0           
22,13,514,0          
32,9,517,0           
29,10,517,0          
26,11,513,0          
20,13,515,0          
27,8,516,0           
28,9,516,0           
24,7,518,0           
27,6,519,0           
26,9,515,0           
24,7,519,0           
26,7,515,0           
26,6,518,0           
27,6,515,0           
29,6,521,0           
27,7,522,0           
33,17,504,0          
28,11,516,0          
25,6,519,0           
29,9,515,0           
24,9,519,0           
28,14,519,0          
24,11,513,0          
16,8,516,0           
22,4,517,0           
21,6,522,0           
24,18,518,0          
26,15,517,0          
22,8,521,0           
31,5,531,0           
46,2,527,0           
48,4,533,0           
29,3,539,0           
84,-34,585,0         
32,-11,561,0         
71,-49,580,0         
31,22,495,0          
96,-103,607,0        
-123,39,421,0        
-298,287,12,0        
-106,143,567,0       
28,29,473,0          
9,19,582,0           
-14,51,490,0         
1,36,513,0           
1,41,517,0           
-1,40,516,0          
-7,31,518,0          
-4,49,501,0          
-4,43,514,0          
-5,39,515,0          
-3,40,513,0          
-4,44,517,0          
0,40,517,0           
-2,43,517,0          
-5,42,513,0          
-1,43,518,0          
-2,44,506,0          
-1,44,514,0          
-2,43,510,0          
-2,43,513,0          
-2,40,520,0          
-6,43,514,0          
-4,42,511,0          
-2,39,516,0          
-8,41,514,0          
-4,40,517,0          
-3,40,517,0          
-5,38,516,0          
-5,41,513,0          
-4,40,515,0          
-5,40,516,0          
-7,41,514,0          
-5,42,516,0          
-4,42,517,0          
-2,44,513,0          
-10,42,514,0         
-6,44,515,0          
-5,42,514,0          
-1,39,525,0          
-3,40,511,0          
-4,42,516,0          
-4,42,514,0          
-6,44,515,0          
-4,41,517,0          
-5,39,517,0          
-4,44,511,0          
-8,42,515,0          
